"year","tree_age_years","site","crop","plot","yield_straw","yield","data_id","yield_unit","distance_to_tree_strip","field","lat","lon","orientation","soil_type","tree_species","fertilizer","sample_name_db","row","transect","direction","yield_total","aspect","sd_yield","n","yield_tha","yield_straw_tha","yield_total_tha","crop_unified"
2021,NA,"Wendhausen","summer barley","W-AF-r1",2.966666667,6.348684152,"wendhausen21","t/ha",7,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.348684152,2.966666667,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r1",5.333333333,6.166588787,"wendhausen21","t/ha",24,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.166588787,5.333333333,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r2",1.066666667,1.816700332,"wendhausen21","t/ha",1,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.816700332,1.066666667,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r2",3.033333333,3.797623786,"wendhausen21","t/ha",4,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.797623786,3.033333333,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r2",4.133333333,4.769515276,"wendhausen21","t/ha",7,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.769515276,4.133333333,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r2",4.3,3.298008267,"wendhausen21","t/ha",24,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.298008267,4.3,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r3",3,4.790264704,"wendhausen21","t/ha",1,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.790264704,3,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r3",3.733333333,5.751718644,"wendhausen21","t/ha",4,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.751718644,3.733333333,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r3",2.866666667,5.88063899,"wendhausen21","t/ha",7,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.88063899,2.866666667,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r3",2.666666667,5.438716733,"wendhausen21","t/ha",24,"Wendhausen",52.333357,10.632363,"lee","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.438716733,2.666666667,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r4",1.766666667,2.611792932,"wendhausen21","t/ha",1,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.611792932,1.766666667,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r4",4.133333333,5.66745339,"wendhausen21","t/ha",4,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.66745339,4.133333333,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r4",4.066666667,6.300342209,"wendhausen21","t/ha",7,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.300342209,4.066666667,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-AF-r4",3.4,5.889452225,"wendhausen21","t/ha",24,"Wendhausen",52.333357,10.632363,"luv","Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.889452225,3.4,NA,"barley"
2021,NA,"Wendhausen","summer barley","W-C-r1",3.633333333,6.333702223,"wendhausen21","t/ha",NA,"Wendhausen",52.333357,10.632363,NA,"Pelosol","poplar",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.333702223,3.633333333,NA,"barley"
